Frame,RX,RY,RZ,TX,TY,TZ
1,0.869851,0.023161,0.036672,23.838058,122.293625,274.047729
2,0.870604,0.022168,0.035358,23.76173,122.307449,273.959412
3,0.87056,0.02129,0.035002,23.775982,122.278442,273.96463
4,0.87055,0.022214,0.035738,23.808855,122.276024,273.962494
5,0.869662,0.022741,0.036049,23.825016,122.319504,274.024628
6,0.870954,0.021963,0.035202,23.772951,122.292908,273.930359
7,0.870632,0.021206,0.035113,23.786064,122.256088,273.946655
8,0.870613,0.021535,0.035365,23.796465,122.273964,273.937927
9,0.870358,0.022307,0.035819,23.816713,122.32399,273.964264
10,0.871253,0.021815,0.035467,23.784517,122.219513,273.921326
11,0.870354,0.022541,0.036137,23.851513,122.32325,273.99295
12,0.87044,0.021616,0.03524,23.800724,122.331772,273.97345
13,0.870674,0.02169,0.035282,23.76965,122.28492,273.968384
14,0.870604,0.022484,0.035689,23.795504,122.257393,274.000244
15,0.871029,0.021126,0.034417,23.74297,122.258003,273.952148
16,0.87059,0.02197,0.035416,23.814749,122.293594,273.969849
17,0.870688,0.021958,0.035499,23.792522,122.23851,273.946075
18,0.870228,0.020836,0.034708,23.779812,122.308144,273.983917
19,0.871027,0.021669,0.035108,23.795734,122.284531,273.930023
20,0.87047,0.021251,0.035119,23.787405,122.28849,273.923401
21,0.870913,0.0222,0.035793,23.82008,122.316254,273.916687
22,0.870767,0.021201,0.034756,23.771879,122.32016,273.940186
23,0.871003,0.022952,0.036199,23.840042,122.315933,273.936768
24,0.870546,0.021365,0.035205,23.813057,122.260696,273.983948
25,0.87057,0.022276,0.035908,23.834929,122.271263,273.981201
26,0.870811,0.022351,0.036146,23.83493,122.292259,273.966431
27,0.870156,0.020658,0.034247,23.719339,122.306679,274.028198
28,0.870802,0.022438,0.035667,23.785652,122.267509,273.961395
29,0.869956,0.02263,0.036158,23.843662,122.283463,274.019653
30,0.870224,0.021946,0.035571,23.79628,122.264229,273.979919
31,0.870814,0.021877,0.035572,23.789738,122.296547,273.942596
32,0.870561,0.021588,0.035293,23.778404,122.310143,273.950806
33,0.870221,0.021147,0.035061,23.758251,122.331612,273.973846
34,0.870635,0.02209,0.035737,23.815323,122.266045,273.960846
35,0.870667,0.02114,0.034837,23.763151,122.297211,273.934387
36,0.870181,0.022078,0.035502,23.800343,122.277267,273.993744
37,0.870296,0.021806,0.035033,23.751606,122.27063,273.975128
38,0.870277,0.021807,0.035454,23.780125,122.279816,273.997864
39,0.870546,0.021824,0.035956,23.843658,122.26963,274.012024
40,0.871025,0.022821,0.036359,23.83729,122.278442,273.940277
41,0.870411,0.020485,0.034625,23.779549,122.292618,273.992432
42,0.870546,0.020907,0.034751,23.752466,122.242188,273.985962
43,0.870766,0.020528,0.034282,23.74576,122.245239,273.946991
44,0.870577,0.021857,0.03543,23.773926,122.301987,273.982941
45,0.870587,0.021893,0.03563,23.790724,122.356697,273.943085
46,0.871361,0.020765,0.03462,23.773941,122.262993,273.866943
47,0.871101,0.020747,0.034411,23.739571,122.297783,273.886841
48,0.870607,0.02212,0.035897,23.831345,122.316307,273.951355
49,0.870413,0.021065,0.034814,23.776428,122.301262,273.965607
50,0.870815,0.022796,0.036003,23.817614,122.270851,273.955597
51,0.870403,0.021981,0.035343,23.783354,122.3489,273.972443
52,0.870572,0.022232,0.035247,23.777372,122.316238,273.974152
53,0.870485,0.021271,0.034882,23.761639,122.2939,273.96875
54,0.870679,0.021466,0.035144,23.802925,122.324745,273.929077
55,0.870698,0.022568,0.035808,23.826456,122.305862,273.959473
56,0.870176,0.021991,0.03576,23.80438,122.30822,274.000305
57,0.871054,0.021466,0.035198,23.799452,122.262749,273.940918
58,0.870455,0.021207,0.035049,23.810415,122.28537,273.955475
59,0.87055,0.02161,0.035424,23.82313,122.304825,273.963684
60,0.871139,0.021376,0.035052,23.780298,122.313614,273.924713
61,0.870554,0.022455,0.036163,23.854034,122.292877,273.964905
62,0.870437,0.021988,0.035641,23.807489,122.286308,273.985596
63,0.870686,0.021805,0.035297,23.814734,122.287376,273.989197
64,0.87069,0.021484,0.035052,23.78595,122.274193,273.990204
65,0.870537,0.021838,0.03563,23.841335,122.225983,273.970856
66,0.870706,0.02269,0.035746,23.791199,122.25695,273.972443
67,0.870721,0.021057,0.035075,23.825533,122.268776,273.979584
68,0.870499,0.021194,0.035057,23.761395,122.242546,273.969543
69,0.870294,0.020956,0.035201,23.790255,122.351028,273.955963
70,0.870775,0.021,0.034602,23.734222,122.280312,273.950287
71,0.870343,0.021921,0.035503,23.794886,122.284157,273.967041
72,0.870752,0.022075,0.035278,23.784657,122.27552,273.94278
73,0.870676,0.021633,0.035267,23.795145,122.251167,273.97052
74,0.870388,0.022076,0.035741,23.826891,122.276939,273.96759
75,0.870262,0.023301,0.036501,23.81233,122.298973,273.994965
76,0.870421,0.021602,0.035396,23.79829,122.241386,273.984131
77,0.870844,0.021535,0.034751,23.761301,122.241432,273.959198
78,0.870448,0.021043,0.034761,23.747961,122.235107,273.975739
79,0.870162,0.0221,0.03534,23.74464,122.283752,273.96991
